# Schottky from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]  dS[eV/K]  dS[J/K/mol]  dCv[eV/K]  dCv[J/K/mol]
    380.0000     -0.18018647     -0.00972284      5.04300774      4.86282127      5.03328489  4.48588483e-04     43.28221073  7.53867131e-05      7.27371237
    390.0000     -0.18468196     -0.00899530      5.04300774      4.85832578      5.03401244  4.50478620e-04     43.46458120  7.01876367e-05      6.77207774
    400.0000     -0.18919546     -0.00831785      5.04300774      4.85381228      5.03468989  4.52194029e-04     43.63009302  6.53623621e-05      6.30650950
    410.0000     -0.19372531     -0.00768689      5.04300774      4.84928242      5.03532085  4.53752258e-04     43.78043926  6.08850858e-05      5.87451799
    420.0000     -0.19827003     -0.00709907      5.04300774      4.84473770      5.03590867  4.55168964e-04     43.91713063  5.67312619e-05      5.47373489
    430.0000     -0.20282827     -0.00655126      5.04300774      4.84017947      5.03645647  4.56458154e-04     44.04151860  5.28776872e-05      5.10192144
    440.0000     -0.20739881     -0.00604058      5.04300774      4.83560893      5.03696715  4.57632333e-04     44.15480959  4.93025198e-05      4.75697021
    450.0000     -0.21198057     -0.00556435      5.04300774      4.83102717      5.03744338  4.58702704e-04     44.25808469  4.59853011e-05      4.43690725
    460.0000     -0.21657255     -0.00512008      5.04300774      4.82643518      5.03788765  4.59679283e-04     44.35231031  4.29069032e-05      4.13988699
    470.0000     -0.22117387     -0.00470548      5.04300774      4.82183386      5.03830226  4.60571050e-04     44.43835272  4.00495157e-05      3.86419099
    480.0000     -0.22578372     -0.00431841      5.04300774      4.81722402      5.03868933  4.61386058e-04     44.51698907  3.73965769e-05      3.60822131
    490.0000     -0.23040136     -0.00395692      5.04300774      4.81260637      5.03905082  4.62131522e-04     44.58891534  3.49327259e-05      3.37049581
    500.0000     -0.23502614     -0.00361917      5.04300774      4.80798160      5.03938856  4.62813930e-04     44.65475780  3.26437201e-05      3.14964032
    510.0000     -0.23965745     -0.00330350      5.04300774      4.80335029      5.03970423  4.63439111e-04     44.71507853  3.05163883e-05      2.94438399
