# Schottky from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]  dS[eV/K]  dS[J/K/mol]  dCv[eV/K]  dCv[J/K/mol]
   1910.0000     -0.89785560      0.00118901      5.04300774      4.14515214      5.04419675  4.70703984e-04     45.41603224  -3.94162356e-07     -0.03803089
   1920.0000     -0.90256263      0.00118507      5.04300774      4.14044511      5.04419281  4.70701927e-04     45.41583384  -3.93370720e-07     -0.03795451
   1930.0000     -0.90726964      0.00118114      5.04300774      4.13573810      5.04418888  4.70699885e-04     45.41563680  -3.92527295e-07     -0.03787313
   1940.0000     -0.91197663      0.00117722      5.04300774      4.13103111      5.04418496  4.70697859e-04     45.41544132  -3.91631725e-07     -0.03778672
   1950.0000     -0.91668359      0.00117331      5.04300774      4.12632414      5.04418105  4.70695849e-04     45.41524740  -3.90689257e-07     -0.03769578
   1960.0000     -0.92139054      0.00116941      5.04300774      4.12161719      5.04417714  4.70693852e-04     45.41505466  -3.89700441e-07     -0.03760038
   1970.0000     -0.92609747      0.00116552      5.04300774      4.11691027      5.04417325  4.70691871e-04     45.41486354  -3.88670362e-07     -0.03750099
   1980.0000     -0.93080438      0.00116164      5.04300774      4.11220336      5.04416937  4.70689906e-04     45.41467397  -3.87596267e-07     -0.03739736
   1990.0000     -0.93551127      0.00115777      5.04300774      4.10749647      5.04416550  4.70687957e-04     45.41448593  -3.86486092e-07     -0.03729024
   2000.0000     -0.94021814      0.00115391      5.04300774      4.10278960      5.04416164  4.70686022e-04     45.41429922  -3.85337893e-07     -0.03717946
