# Schottky from phonopy; factor=1.968750000000
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]
    820.0000     -0.37727981      0.00142037      5.00989264      4.63261283      5.01131300
    830.0000     -0.38189832      0.00145516      5.00989264      4.62799432      5.01134780
    840.0000     -0.38651723      0.00148760      5.00989264      4.62337541      5.01138024
    850.0000     -0.39113652      0.00151783      5.00989264      4.61875612      5.01141047
    860.0000     -0.39575614      0.00154598      5.00989264      4.61413649      5.01143862
    870.0000     -0.40037609      0.00157218      5.00989264      4.60951654      5.01146481
    880.0000     -0.40499633      0.00159652      5.00989264      4.60489631      5.01148916
    890.0000     -0.40961683      0.00161913      5.00989264      4.60027581      5.01151177
    900.0000     -0.41423758      0.00164010      5.00989264      4.59565506      5.01153274
    910.0000     -0.41885855      0.00165952      5.00989264      4.59103409      5.01155216
    920.0000     -0.42347973      0.00167749      5.00989264      4.58641291      5.01157013
    930.0000     -0.42810109      0.00169409      5.00989264      4.58179154      5.01158672
    940.0000     -0.43272263      0.00170939      5.00989264      4.57717001      5.01160202
    950.0000     -0.43734432      0.00172346      5.00989264      4.57254831      5.01161610
    960.0000     -0.44196616      0.00173639      5.00989264      4.56792648      5.01162902
    970.0000     -0.44658812      0.00174822      5.00989264      4.56330452      5.01164086
    980.0000     -0.45121020      0.00175903      5.00989264      4.55868244      5.01165167
    990.0000     -0.45583239      0.00176887      5.00989264      4.55406025      5.01166151
   1000.0000     -0.46045467      0.00177780      5.00989264      4.54943797      5.01167043
